# Launch Canada 2024 Drag Coefficients

# Simulation 6 (Up to date)
# 1324 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (125 ft/s)
#
# Drag force (N),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2060.539,NaN
2034.599,NaN
2009.172,NaN
1984.247,NaN
1959.809,NaN
1935.846,NaN
1912.345,NaN
1889.296,NaN
1866.686,NaN
1844.504,NaN
1822.74,NaN
1801.383,NaN
1780.423,NaN
1759.85,NaN
1739.656,NaN
1719.829,NaN
1700.363,NaN
1681.247,NaN
1662.475,NaN
1644.036,NaN
1625.925,NaN
1608.132,NaN
1590.651,NaN
1573.474,NaN
1556.594,NaN
1540.005,NaN
1523.7,NaN
1507.672,NaN
1491.915,NaN
1476.423,NaN
1461.191,NaN
1445.96,NaN
1430.733,NaN
1415.509,NaN
1400.288,NaN
1385.039,NaN
1369.815,NaN
1354.596,NaN
1339.38,NaN
1324.168,NaN
1308.959,NaN
1293.753,NaN
1278.551,NaN
1263.353,NaN
1248.158,NaN
1232.968,NaN
1217.781,NaN
1202.599,NaN
1187.42,NaN
1172.246,NaN
1157.077,NaN
1141.912,NaN
1126.751,NaN
1111.596,NaN
1096.445,NaN
1081.299,NaN
1066.159,NaN
1051.024,NaN
1035.895,NaN
1020.771,NaN
1005.654,NaN
990.542,NaN
975.437,NaN
960.338,NaN
945.246,NaN
930.161,NaN
915.083,NaN
900.018,NaN
884.973,NaN
869.922,NaN
854.879,NaN
839.846,NaN
824.822,NaN
809.807,NaN
794.803,NaN
779.808,NaN
764.825,NaN
749.852,NaN
734.892,NaN
719.944,NaN
705.008,NaN
690.086,NaN
675.178,NaN
660.285,NaN
645.405,NaN
630.495,NaN
615.645,NaN
600.81,NaN
585.995,NaN
571.199,NaN
556.424,NaN
541.672,NaN
526.944,NaN
512.241,NaN
497.565,NaN
483.174,NaN
468.867,NaN
454.666,NaN
440.531,NaN
426.471,NaN
412.495,NaN
398.148,NaN
382.863,NaN
369.184,NaN
355.531,NaN
342.02,NaN
328.855,NaN
315.072,NaN
301.102,NaN
287.158,NaN
273.296,NaN
260.402,NaN
247.677,NaN
234.734,NaN
222.341,NaN
211.107,NaN
198.428,NaN
187.347,NaN
176.753,NaN
167.213,NaN
158.249,NaN
156.786,NaN
150.415,NaN
158.383,NaN
150.096,NaN
151.109,NaN
151.234,NaN
155.496,NaN
150.265,NaN
155.127,NaN
151.357,NaN
151.01,NaN
151.292,NaN
153.517,NaN
154.135,NaN
153.873,NaN
157.78,NaN
157.639,NaN
